trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-93.57969870499112,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-55.04372209243782,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-279.58161548881037,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 6}",0
45,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,8,-25.93280336310324,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8915682881953289}",35,0,-229.31593674910593,"{0: 22, 1: 2, 2: 5, 3: 2, 4: 4}",0
47,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-145.1193787886815,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,0,-78.87328630557784,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-139.65564776250278,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8727445076457513}",30,0,-135.59206873721197,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-18.451487370447364,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-124.42579620904216,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-111.90530177855861,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-213.61273327633828,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
55,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,14,-60.451773906227125,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,6,-40.08886434309239,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,0,-138.1002738728952,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,0,-53.80866487730246,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,6,-139.8622647501471,"{0: 7, 1: 0, 2: 3, 3: 2, 4: 2}",1
60,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-136.17212023919123,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
61,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-64.24328694657264,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-139.208565094251,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-141.97665678466547,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-65.20207370244309,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,24,9.506881701532963,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-54.48528880629,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-77.57176936681043,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,5,-55.01115980098115,"{0: 7, 1: 5, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,3,-44.79924685076443,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-90.28120310351387,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-6.019742283903857,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-169.16271892152255,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-69.01810681020488,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,19,11.293816985671214,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7248360107409052}",30,0,-23.438217752637417,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,0,-22.7525162496054,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-73.09606025480156,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7038453156522362}",25,0,-58.144932589541106,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,0,-60.1221818252543,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,1,-19.326725490963597,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-140.61135969562324,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,0,-49.72067575876581,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,11,-64.73488247162416,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-47.24204760333231,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,8,12.338322300073397,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,0,-48.645397758477955,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-81.19199785208703,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-18.651790060747114,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,3,-32.9490285045162,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,10,-28.995098553572646,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-15.969556846721163,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-156.79187720711423,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
93,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,0,-29.5605731451299,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-2.424290937609414,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-119.40886077034827,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,13,-25.649207518136613,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,1,-29.29604998010594,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,10,7.6363317874585945,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5403023058681398}",30,12,-8.02893998038367,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,0,3.830370153689282,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,0,-118.09306628917237,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-80.76633938768477,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,1,-5.7407291424963685,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.497571047891727}",25,8,15.98791367727669,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.48887208186052755}",35,17,-29.88196706886714,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,0,-41.776751088327764,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.47132836417373997}",35,10,-13.844159699933334,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,2,-36.89833395973056,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,16,7.933888900106749,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
